problem_type,order_prime_number,alpha,beta,p,result_x,time_seconds
1,3,526,712,967,713,0.0
1,3,94,43,113,61,0.0
1,3,474,355,659,83,0.0
1,3,271,658,811,357,0.0
1,3,42,79,593,35,0.0
1,4,687,211,1499,77,0.0
1,4,1319,1,1861,0,0.0
1,4,1268,2565,3701,392,0.0
1,4,6086,975,6947,1109,0.0
1,4,2789,1812,4447,614,0.0
1,5,13945,13335,17881,2747,0.015626192092895508
1,5,1336,23473,75307,13766,0.015023469924926758
1,5,22748,54927,72251,3651,0.0
1,5,58175,71295,93941,32117,0.059325456619262695
1,5,25016,41581,57073,55430,0.07838559150695801
1,6,185491,813538,938491,3216,0.015020132064819336
1,6,562358,28946,767881,485059,1.149404525756836
1,6,91432,535491,702407,31338,0.04687309265136719
1,6,80984,32035,387839,95741,0.17940211296081543
1,6,34278,408995,870049,141562,0.26882123947143555
1,7,570680,413337,7011001,1629625,3.5043129920959473
1,7,1380361,118924,3128869,792074,1.637136697769165
1,7,6243344,4056684,7071763,2317860,5.224976301193237
1,7,846256,649860,3377051,649457,1.46736741065979
1,7,6666767,147459,9826753,9302872,21.92418336868286
1,8,67827389,89919187,92520767,28685778,78.48126339912415
1,8,23417497,44175021,59607281,8181040,19.18323564529419
1,8,4329801,51032151,52823431,5948027,13.706405401229858
1,8,32957045,16355968,50009233,25206576,62.495458126068115
1,8,89749448,89873572,99198353,59650509,154.63321924209595
1,9,47466457,23621865,113988659,37022081,96.74259090423584
1,9,20274217,65055392,104611643,36978146,144.76350259780884
1,10,2045882188,2902364135,2994811051,timeout,300.0
1,10,1219806771,1127570141,1639867079,timeout,300.0
2,3,488,9,587,277,0.0
2,3,280,258,293,156,0.0
2,3,516,554,809,218,0.0
2,3,544,914,983,37,0.0
2,3,128,321,389,248,0.0
2,4,964,165,1439,543,0.0
2,4,1016,4150,4507,2128,0.0
2,4,883,1006,2459,893,0.01301884651184082
2,4,3981,2840,4987,9,0.0
2,4,1973,4112,7027,794,0.0
2,5,45014,73402,75653,36955,0.0629725456237793
2,5,3265,13483,99317,4676,0.008523702621459961
2,5,7367,1872,10559,5662,0.008546113967895508
2,5,77542,51093,78583,71880,0.12539291381835938
2,5,21790,69827,71483,26926,0.031164169311523438
2,6,656243,681265,802163,87848,0.16415977478027344
2,6,447592,557860,832063,11072,0.02214789390563965
2,6,409182,660228,853319,82186,0.17915582656860352
2,6,451208,275573,522989,70199,0.12322068214416504
2,6,780911,116167,796487,270170,0.6612968444824219
2,7,4499837,3274226,7787803,7680940,18.553160190582275
2,7,3209311,5213542,7106531,1669825,3.853069543838501
2,7,2008079,1790094,2021671,254205,0.5243101119995117
2,7,3589,1090816,1856747,469054,1.0464367866516113
2,7,1123404,1186784,1761161,1061587,2.4992012977600098
2,8,19300672,13408151,75492679,22856198,59.47814416885376
2,8,21571180,61327898,94569647,18614856,46.11589527130127
2,8,11620966,54902,26601031,25256780,65.3531584739685
2,8,66375852,21761867,72648127,19776002,55.43884468078613
2,8,24239174,1710516,60778217,31740801,78.7735345363617
2,9,567880009,195379613,610361987,41726336,105.27812790870667
2,9,161289169,198126066,323358463,timeout,300.0
2,9,69245850,62279572,362715473,2543979,5.68828558921814
2,9,391885765,10838772,864728693,timeout,300.0
2,9,39868638,40596857,110683252,46310354,117.2231822013855
2,10,4309747464,1226531955,4334383633,timeout,300.0
